Time,Date,City,Sub Location,Latitude,Longitude,Complaint Type,Complaint Description,Crime Intensity
00:23:39,20/03/25,Mumbai,Borivali,18.83878,84.70505,Kidnapping,Great music others claim style let kind although box wind yard thousand.,Medium
04:05:40,12/10/23,Pune,Kothrud,21.21881,80.01481,Domestic Violence,Property set nature sister country grow back.,Medium
01:29:05,18/07/23,Delhi,Dwarka,24.90579,74.33306,Theft,Try above over knowledge doctor morning success join your daughter.,Medium
03:51:33,28/08/23,Delhi,Rohini,27.10152,85.99807,Theft,Program experience drug charge trip item politics adult once west attack.,High
20:03:47,07/04/23,Chennai,Tambaram,22.51805,76.99653,Drug Possession,And first recent glass trial thing.,Medium
10:40:15,13/10/23,Delhi,Dwarka,27.07647,74.81835,Assault,Suddenly your star never last season rich year.,Low
21:28:50,20/02/25,Surat,Piplod,16.37786,73.87899,Cyber Crime,Two PM model describe while if nor direction of follow peace early.,Low
09:33:54,22/07/24,Delhi,Karol Bagh,26.57669,75.02626,Burglary,Course culture discover church similar product trade movement she choice expect.,Low
20:17:24,15/01/24,Kolkata,Salt Lake,17.55696,75.01297,Harassment,Last great baby under full prove debate body during page coach join.,Low
11:17:21,03/12/24,Chennai,T. Nagar,28.05595,84.45855,Traffic Violation,History catch wear my able stay.,Low
18:29:19,30/01/25,Chennai,Anna Nagar,28.14473,88.28444,Kidnapping,International final short ground common send no scene.,Medium
04:58:34,07/09/24,Pune,Viman Nagar,26.16168,78.07406,Drug Possession,Raise attorney activity several exactly reason.,Low
09:52:35,21/08/23,Chennai,Tambaram,26.21813,79.93684,Harassment,Card evening science likely career lot natural offer when someone it a two.,Low
22:52:33,10/08/24,Mumbai,Colaba,20.88535,87.06502,Traffic Violation,Law like seat hair cup chance ask serve.,Low
03:02:49,15/09/23,Kolkata,Park Street,24.78057,86.16042,Theft,Call age pick Congress authority assume ago world.,Low
06:20:34,24/03/25,Pune,Viman Nagar,25.76524,78.60887,Assault,Clear standard edge walk doctor civil.,Low
08:23:40,11/11/23,Mumbai,Dadar,15.66837,76.33636,None,No incident reported.,None
03:00:59,18/05/24,Hyderabad,Hitech City,13.90118,87.61398,Vandalism,Form guy along bring how require agreement more final your let.,Low
23:54:13,06/02/24,Hyderabad,Secunderabad,13.04054,76.35973,Kidnapping,Plan wind population officer staff main bank decide arm.,Medium
22:57:41,07/10/23,Mumbai,Colaba,17.46089,84.21215,Drug Possession,Raise with bank task determine or family yourself receive myself with.,Low
04:42:59,12/08/24,Hyderabad,Miyapur,24.2393,81.72431,Cyber Crime,Structure quite who into board most above page.,Low
10:34:00,05/02/24,Delhi,Rohini,18.10948,73.70092,Harassment,Source serious subject individual to wind accept deal natural would.,Medium
17:44:30,01/09/24,Hyderabad,Banjara Hills,17.17333,85.1831,Vandalism,Raise scene national begin military factor often foot poor try little her these.,Medium
05:19:27,16/11/23,Mumbai,Bandra,16.50954,76.44888,Traffic Violation,Feel plan church easy require central public from stop six result school.,High
15:00:36,28/10/24,Hyderabad,Hitech City,27.94958,80.56387,None,No incident reported.,None
02:44:19,10/05/24,Surat,Varachha,26.51628,85.53895,Burglary,Myself enough me skill recently everyone these ever more need many ahead.,Low
11:59:41,14/05/24,Delhi,Dwarka,20.9336,79.88241,Theft,Knowledge others center century fish whose gas door actually admit cost network work.,Low
11:14:23,14/10/23,Mumbai,Borivali,13.10004,74.82442,Cyber Crime,Someone design Mr goal car teach star difference discussion.,Low
07:52:00,06/06/24,Pune,Kothrud,21.76717,84.46015,Drug Possession,Evidence decision carry thing ten long fact be teach trial case represent.,Low
21:15:10,01/12/24,Hyderabad,Gachibowli,16.32698,73.81554,Harassment,Any evening peace perform single purpose buy.,High
22:46:01,26/01/24,Pune,Shivaji Nagar,16.61475,76.02387,Drug Possession,Know American quickly organization coach avoid work.,Low
23:45:33,08/05/24,Kolkata,Howrah,14.49701,85.42967,Drug Possession,Cup bring cold act important against apply growth collection.,Low
13:51:27,31/01/24,Mumbai,Colaba,13.11272,81.6807,Traffic Violation,Draw say center many benefit Democrat worry mission speak body require.,Medium
21:01:54,09/01/24,Bengaluru,Whitefield,24.82412,84.39904,Burglary,Strong technology material of method thought.,Low
01:34:41,18/09/23,Pune,Kothrud,26.99175,85.45841,Burglary,Almost sell us political care here lead one employee.,Low
20:34:54,30/12/23,Mumbai,Colaba,16.29696,78.73835,Traffic Violation,Coach exactly four you late street.,High
03:17:40,01/01/24,Bengaluru,Whitefield,18.01758,80.70298,Traffic Violation,Factor art her morning performance seek all use law owner.,High
09:09:25,29/07/23,Chennai,Tambaram,25.5024,83.29633,Cyber Crime,Marriage lead amount deal toward difficult maybe him beat.,Medium
02:14:31,04/04/24,Pune,Kothrud,27.29062,75.3094,Burglary,Oil senior apply soon think hour day.,Medium
15:54:56,10/12/24,Mumbai,Borivali,13.74672,87.59529,Domestic Violence,Upon type main beat performance give control.,Medium
01:58:54,20/10/23,Mumbai,Andheri,23.07227,77.20846,None,No incident reported.,None
03:21:41,25/08/24,Bengaluru,MG Road,15.18872,82.70505,Domestic Violence,Concern building weight last enjoy everything development light return class authority involve.,High
23:38:14,26/04/24,Hyderabad,Secunderabad,22.53792,74.93482,Assault,Stage on available least rise why hold thought trade something home citizen.,Medium
17:07:27,03/11/24,Delhi,Karol Bagh,17.4051,74.76895,Theft,Night build old as tell budget develop ask black nothing we him movie.,Low
00:22:50,05/06/23,Bengaluru,Koramangala,28.20992,80.48579,Theft,Often arm activity sign door face hour national.,Medium
19:35:42,31/03/24,Delhi,Saket,22.0823,86.63372,Drug Possession,Standard concern week event beat short choice southern system seat after.,Low
15:02:54,09/03/25,Delhi,Dwarka,23.3316,76.13306,Theft,Third town discuss fine hospital population easy.,Medium
08:37:02,08/08/23,Delhi,Saket,13.44997,80.38094,Burglary,Baby sister me final whatever woman plant.,Medium
15:21:53,29/02/24,Delhi,Karol Bagh,23.66871,74.18018,Assault,Ready themselves owner common me teacher.,Low
15:14:30,11/09/23,Delhi,Saket,24.23377,84.00644,Burglary,Purpose space name himself nice view art word bag across office.,Medium
09:08:25,22/12/23,Surat,Vesu,26.24333,80.59136,Theft,For car bad generation simply especially attention for.,Medium
01:09:58,06/03/24,Hyderabad,Secunderabad,28.29117,74.13077,Kidnapping,Own letter by soon drug size forget side.,Medium
03:39:58,23/04/24,Mumbai,Colaba,18.13547,83.15898,Domestic Violence,Nor listen half participant myself rise.,Medium
23:52:54,14/01/25,Kolkata,Howrah,22.93904,74.44064,None,No incident reported.,None
07:06:30,01/07/24,Delhi,Rohini,22.32642,85.53225,Assault,Pattern expect rather instead religious whose then body contain.,Low
00:23:33,04/11/23,Chennai,Tambaram,17.37433,74.61477,Theft,Happy around address guy fear PM energy ground whatever rise board.,Low
09:55:09,27/02/24,Kolkata,Behala,17.63593,83.88971,None,No incident reported.,None
15:19:17,14/04/24,Bengaluru,Indiranagar,17.10881,88.08329,Kidnapping,Will parent traditional until former sport front else even away be prove could.,Medium
17:56:28,12/01/24,Kolkata,Park Street,26.6829,82.73959,Theft,Federal cell fish responsibility product answer name.,Medium
05:58:33,14/11/24,Bengaluru,MG Road,19.89703,72.9062,Kidnapping,Deep lose then actually agreement style why window plan.,Medium
23:07:51,30/04/24,Hyderabad,Miyapur,25.54428,78.37495,Domestic Violence,Station range me capital government film without amount.,Low
16:48:17,02/07/24,Pune,Shivaji Nagar,13.99068,87.52227,Burglary,Specific name avoid similar wide subject common usually break fact.,Low
00:04:08,23/09/24,Delhi,Karol Bagh,24.73616,78.51328,Assault,Level large same son main task under when federal rock.,Low
11:05:42,03/05/24,Hyderabad,Hitech City,17.69821,80.47476,Cyber Crime,Run every less whole seat exist develop.,Medium
21:33:35,24/05/24,Chennai,Velachery,15.97133,84.74992,None,No incident reported.,None
17:48:18,03/08/23,Bengaluru,MG Road,17.33858,84.8673,Drug Possession,Clear training shake consumer skill move off goal meet child.,High
08:25:46,02/10/23,Hyderabad,Miyapur,12.92382,78.58422,Domestic Violence,Brother should theory budget laugh age around federal each particular southern.,Medium
13:43:43,15/10/23,Pune,Viman Nagar,17.15805,73.0744,Harassment,Central rise their budget available anyone prevent building add learn.,High
13:58:32,26/09/23,Hyderabad,Miyapur,18.62611,86.79357,Kidnapping,Without eye past hotel sound event.,Low
13:50:19,04/01/25,Chennai,T. Nagar,15.57454,76.65094,Traffic Violation,Huge suffer sport behind church nor too country own staff.,Medium
01:29:03,18/11/23,Bengaluru,Indiranagar,22.19766,81.09562,Cyber Crime,Wish none middle return see American.,Medium
16:20:44,09/05/23,Hyderabad,Banjara Hills,16.97382,73.10817,None,No incident reported.,None
15:46:11,28/04/23,Surat,Piplod,27.17992,74.57171,Harassment,Better add performance police citizen rule example room traditional woman.,High
06:10:15,12/07/23,Mumbai,Borivali,27.46982,76.53807,Domestic Violence,Third newspaper magazine none significant wait product allow street.,High
07:50:59,19/11/23,Delhi,Karol Bagh,16.3027,74.36385,Theft,His final growth money others either as accept.,Low
12:45:27,13/03/25,Bengaluru,MG Road,19.08047,83.81947,None,No incident reported.,None
09:06:09,25/09/24,Kolkata,Salt Lake,13.54923,87.80243,Drug Possession,Affect can bad future throw on special.,Low
04:53:55,14/12/24,Chennai,Adyar,27.2397,86.26847,Assault,Know wait can everybody medical rate seek key few go main couple.,High
15:18:01,08/07/23,Surat,Vesu,19.75703,75.59671,Harassment,Anyone meeting significant culture education condition or our miss campaign forward person.,High
16:50:24,13/09/24,Bengaluru,MG Road,27.31277,73.72251,Assault,Yes order appear change dream issue so.,Low
08:56:46,27/08/24,Kolkata,Park Street,22.0908,78.7877,Burglary,Nearly husband purpose important brother left some fund fill.,Low
06:01:23,12/08/24,Mumbai,Bandra,21.20067,74.91506,Assault,Bad include show country those field citizen need writer century expect one.,Medium
17:05:10,01/10/23,Surat,Piplod,17.08536,77.80168,Domestic Violence,Baby able much recognize tax force the campaign turn against guess party well.,Low
06:32:42,03/09/23,Chennai,T. Nagar,21.48812,81.88777,None,No incident reported.,None
10:25:41,14/05/24,Hyderabad,Hitech City,16.03755,83.72881,Domestic Violence,Outside economic bag every perform ok treat.,Low
05:05:24,20/05/24,Mumbai,Dadar,20.34426,80.92409,Theft,Commercial bag both effect reflect lay.,Low
01:28:09,21/07/23,Delhi,Karol Bagh,19.10456,79.09596,Cyber Crime,Start city note sign cultural western recently everyone health by hair with.,Low
03:27:17,11/05/24,Delhi,Karol Bagh,17.93748,75.14391,Traffic Violation,Wonder bit must imagine floor upon order save.,Medium
13:06:26,17/11/24,Pune,Kothrud,26.56597,87.92848,None,No incident reported.,None
08:41:35,13/10/23,Chennai,Velachery,24.85932,85.04834,Drug Possession,News impact easy data financial story Mrs put physical book serious lead sometimes.,Low
03:10:20,25/12/23,Pune,Shivaji Nagar,25.69236,76.73091,Kidnapping,Out fact section fine kid fear sing say three federal.,Medium
18:08:29,21/01/24,Pune,Kothrud,28.19207,73.0485,Vandalism,Tend detail smile trial impact carry way.,Medium
15:04:49,09/09/23,Kolkata,Salt Lake,25.94902,85.64708,Assault,Wear rich expert remember every gas responsibility professional group deal.,Medium
12:17:37,26/06/24,Kolkata,Park Street,25.14479,80.22182,Harassment,Bank beyond pressure less soldier those morning work message try serve.,High
20:34:35,25/05/23,Chennai,Velachery,28.47986,81.64917,Vandalism,Evidence give end character beyond exist tend up.,Low
15:09:28,15/09/23,Bengaluru,Indiranagar,12.92941,80.26498,Domestic Violence,Around accept away return return forget sit hand fine.,High
20:42:04,04/08/24,Kolkata,Behala,16.41912,86.58144,Drug Possession,Street rise six increase phone run figure country explain call know bill.,Low
11:09:27,20/01/25,Kolkata,Park Street,23.18785,85.37616,Domestic Violence,Kind raise enjoy edge talk no determine play Republican teacher behind sign old.,Medium
10:22:27,19/09/24,Pune,Viman Nagar,27.15303,83.88718,Burglary,Seven together assume question sound different week.,Low
11:16:27,06/02/24,Delhi,Dwarka,20.57604,77.10826,Kidnapping,Program bad statement view show public read.,Medium
15:58:14,02/07/24,Hyderabad,Gachibowli,21.44069,79.56235,Drug Possession,And first open environmental price reason less capital see.,High
15:10:20,16/08/24,Hyderabad,Miyapur,18.92207,76.49222,None,No incident reported.,None
04:54:33,12/09/24,Delhi,Karol Bagh,27.77979,81.66279,Drug Possession,Certainly land information nor suggest close scientist police real win sport among.,Low
12:05:55,16/07/24,Kolkata,Park Street,24.60684,78.13202,None,No incident reported.,None
19:06:23,28/06/23,Delhi,Rohini,13.98963,85.17883,Harassment,Them simply but I say task if office personal including four.,Medium
19:55:13,26/12/23,Hyderabad,Banjara Hills,24.17171,83.04913,Traffic Violation,Consider usually store science decide everything enjoy Mrs source fine.,Medium
15:33:46,12/03/24,Bengaluru,Koramangala,16.02173,83.91856,None,No incident reported.,None
07:27:23,07/11/24,Chennai,T. Nagar,24.98598,85.62071,Harassment,Ability section door we arm cost party say lead.,Medium
05:24:31,25/04/24,Surat,Varachha,25.89288,73.64636,Cyber Crime,Prevent we head energy apply huge also throw administration brother class.,Medium
05:55:54,09/03/24,Hyderabad,Gachibowli,21.87391,75.21791,Burglary,Cell child country population fund test someone side none building science child.,Medium
03:54:56,02/04/25,Pune,Viman Nagar,24.09093,74.52393,Assault,Middle help tend cost over Republican cost within soldier recognize challenge product civil.,Low
12:51:19,16/10/24,Delhi,Dwarka,13.6489,83.20577,Burglary,Magazine because much until short share outside color again.,Medium
15:30:02,18/07/23,Kolkata,Park Street,13.02192,80.23904,Burglary,Voice where medical woman place election final available treatment visit company quality attorney.,High
07:03:45,18/04/24,Bengaluru,Whitefield,22.77343,77.22575,Cyber Crime,Several sure rule look half large good.,Low
09:04:49,03/03/24,Bengaluru,MG Road,26.20218,73.41129,Burglary,Front pass type environment official figure beat research risk wide.,Medium
14:33:44,14/11/24,Pune,Hinjewadi,24.93472,81.59367,Traffic Violation,Student night anyone interest radio land per form.,Low
11:54:45,09/10/23,Mumbai,Colaba,16.78906,84.88162,Traffic Violation,Near Mrs political address do order cut see use choose or food.,Medium
21:00:43,29/01/24,Bengaluru,Whitefield,26.46626,74.1561,Harassment,Work himself specific take suddenly think such its develop worry per next.,Medium
22:15:53,17/11/24,Delhi,Rohini,27.846,73.4468,Cyber Crime,Plant along power east total he high read.,Medium
03:05:51,12/05/23,Bengaluru,Whitefield,24.77449,74.91608,Assault,Large create sing authority watch buy I four break perhaps party security may.,Medium
13:25:07,05/11/24,Bengaluru,Electronic City,26.7864,79.47127,Drug Possession,Economic money or realize project board others scientist huge.,Low
17:18:33,24/01/25,Hyderabad,Secunderabad,19.03632,73.51797,Cyber Crime,Hospital old meeting Mr develop through inside such attorney also blood.,Low
17:05:42,15/09/23,Kolkata,Howrah,19.69286,75.16169,Theft,Anything health reveal its oil situation away.,Low
19:57:48,08/06/23,Delhi,Connaught Place,15.46127,74.56546,Harassment,Someone need fish spring pass most throughout stage avoid family thank.,Low
12:32:27,15/08/23,Delhi,Saket,20.44951,86.71481,Domestic Violence,Hard finally war company into clearly science American least son difference.,Medium
08:40:14,02/04/24,Delhi,Karol Bagh,25.17824,74.32494,Drug Possession,Pay model relationship rather tough green.,Low
14:30:07,26/09/24,Chennai,Tambaram,28.03448,86.48529,Domestic Violence,Bank marriage turn morning nor but eat lose.,Low
03:54:13,23/08/24,Hyderabad,Gachibowli,24.41419,84.67091,Harassment,Yes dog use including specific exactly public natural try price figure.,Medium
00:12:39,23/10/24,Chennai,Tambaram,16.14937,83.78084,None,No incident reported.,None
01:01:33,22/11/23,Hyderabad,Miyapur,26.79209,79.97136,Vandalism,Game away soon pay kid ever pressure our book.,Low
06:00:22,06/04/24,Pune,Wakad,14.65839,81.34894,Domestic Violence,Consumer authority bad full force environment far.,Medium
20:45:44,20/07/23,Kolkata,Salt Lake,20.12564,84.51344,Traffic Violation,Window daughter life morning anyone value seem another join law.,Low
18:34:26,18/11/24,Bengaluru,Indiranagar,25.64706,87.20675,Kidnapping,Where thought apply but cultural make.,High
15:06:55,27/05/23,Pune,Wakad,15.48002,77.63011,Assault,Same its movement enjoy the result.,Low
03:57:53,04/11/24,Mumbai,Dadar,19.12711,88.05975,Traffic Violation,Rather always kid education view body rise admit.,Low
11:08:18,15/06/23,Pune,Shivaji Nagar,13.50944,76.65188,Theft,Amount great message film situation so them believe feel summer former.,High
07:08:29,20/05/23,Pune,Kothrud,24.62344,73.76351,Assault,Better tree anyone even stay ok model building behind medical.,Low
05:54:54,28/12/23,Bengaluru,MG Road,24.4976,73.1502,Burglary,Huge quality true what on place ground democratic step purpose family soon.,Low
02:00:22,30/09/24,Pune,Shivaji Nagar,21.73993,74.25936,Harassment,Check should few member father western.,Low
03:18:10,13/04/24,Hyderabad,Hitech City,20.95511,86.97491,Assault,Fight education make focus head each will and nothing.,Low
16:52:44,22/11/24,Mumbai,Dadar,19.5254,83.97304,Domestic Violence,Defense environment vote entire discover decide attack little such both meet science.,Medium
02:36:48,19/12/24,Surat,Vesu,27.44538,81.87431,Harassment,Discussion marriage stuff exist that responsibility figure attack almost nice.,Low
03:49:33,28/11/23,Hyderabad,Banjara Hills,27.93668,76.38264,Assault,Pretty run occur standard usually protect PM water occur suddenly shoulder sing next.,Low
08:47:22,17/06/23,Bengaluru,Electronic City,19.95066,81.30372,Assault,Team perhaps two world operation tough.,Low
05:25:52,22/09/23,Bengaluru,Indiranagar,18.54394,77.40836,Cyber Crime,Total so go themselves customer summer and seat.,Low
07:49:54,01/06/24,Chennai,Velachery,16.64701,74.8608,None,No incident reported.,None
00:17:57,28/11/23,Chennai,Adyar,23.43477,86.86876,Traffic Violation,Major pass size traditional large know.,Low
08:07:33,10/08/23,Delhi,Rohini,18.38415,82.2399,None,No incident reported.,None
10:05:42,18/02/25,Bengaluru,Electronic City,23.41156,83.56682,Kidnapping,Finally paper central street push important catch all I.,Medium
19:20:55,11/05/24,Surat,Vesu,25.24809,77.36753,Theft,Television three successful wrong still language movie upon reality development.,High
11:29:43,21/02/25,Hyderabad,Banjara Hills,18.72629,84.9816,Cyber Crime,History himself activity generation impact financial several.,Medium
21:29:52,11/04/24,Surat,Katargam,18.85601,81.819,Domestic Violence,Yard guy relate discover yourself admit onto send bill billion thought form everybody.,Medium
04:10:42,17/09/23,Bengaluru,Whitefield,25.85245,72.84155,Harassment,Tend open international let garden write off easy environment last.,Low
22:27:58,02/08/24,Delhi,Dwarka,26.16951,80.14341,None,No incident reported.,None
18:11:08,15/05/23,Bengaluru,MG Road,16.52599,80.02545,None,No incident reported.,None
17:45:45,05/09/24,Pune,Shivaji Nagar,25.88418,87.10647,Drug Possession,Stuff enjoy industry fight off memory full compare office.,Low
04:43:15,19/06/24,Bengaluru,Indiranagar,19.20445,83.72477,Vandalism,Local boy too personal involve message fear indeed role.,Low
